time,Date,load_2030,solar,wind,gas,batt_charge,batt_discharge,SOC,load_net,load_and_charge
2030-11-12T07:00:00Z,11/12/2018,577.763726406455,50.32381323759264,562.3979998356862,0,34.95808666682367,0,443.49927753870253,0,612.72
2030-11-12T08:00:00Z,11/12/2018,566.692487219978,342.6456347854807,516.0216563255026,0,291.97480389100537,0,735.4740814297079,-0,858.67
2030-11-12T09:00:00Z,11/12/2018,556.9077182721029,591.1723561380192,592.8254056996838,0,550.941415498469,0,1286.4154969281772,76.15,1107.85
2030-11-12T10:00:00Z,11/12/2018,543.277297851114,782.909600674583,558.439043682377,0,550.941415498469,0,1837.3569124266462,247.13,1094.22
2030-11-12T11:00:00Z,11/12/2018,532.4596794886529,829.6947416223062,453.47014910323094,0,366.40874956722985,0,2203.765661993876,384.3,898.87
2030-11-12T12:00:00Z,11/12/2018,536.885665758383,841.6419151755352,483.218876769519,0,0,0,2203.765661993876,787.98,536.89
2030-11-12T13:00:00Z,11/12/2018,533.436343590985,830.1714679656459,560.8144173743623,0,0,0,2203.765661993876,857.55,533.44
2030-11-12T14:00:00Z,11/12/2018,537.324087583416,758.4888661645753,551.3129226064226,0,0,0,2203.765661993876,772.48,537.32
2030-11-12T15:00:00Z,11/12/2018,540.724750764381,628.7514774673193,557.8734785176189,0,0,0,2203.765661993876,645.9,540.72
2030-11-12T16:00:00Z,11/12/2018,585.962552741152,367.9820684870231,420.55425651429624,0,0,0,2203.765661993876,202.57,585.96
2030-11-12T17:00:00Z,11/12/2018,650.939777504849,0,398.3841020557691,0,0,252.55567544907984,1906.6413379361352,0,650.94
2030-11-12T18:00:00Z,11/12/2018,654.204171310913,0,510.5922307438229,0,0,143.61194056709013,1737.6861137395583,0,654.2
2030-11-12T19:00:00Z,11/12/2018,639.068010780552,0,513.4200565676144,0,0,125.64795421293749,1589.8649911361024,0,639.07
2030-11-12T20:00:00Z,11/12/2018,617.818653125953,0,576.7633550205475,0,0,41.0552981054055,1541.5646404238605,0,617.82
2030-11-12T21:00:00Z,11/12/2018,588.7962005750489,0,578.5731635477742,0,0,10.22303702727459,1529.5375380388314,-0,588.8
2030-11-12T22:00:00Z,11/12/2018,544.080011107089,0,555.4981048256337,0,11.418093718544606,0,1540.955631757376,0,555.5
2030-11-12T23:00:00Z,11/12/2018,509.3078643044661,0,518.3970300174879,0,9.08916571302175,0,1550.0447974703977,0,518.4
2030-11-13T00:00:00Z,11/12/2018,486.3556644478139,0,512.2889262380978,0,25.933261790284003,0,1575.9780592606817,-0,512.29
2030-11-13T01:00:00Z,11/13/2018,474.14173498376704,0,609.000569411772,0,134.85883442800485,0,1710.8368936886866,0,609
2030-11-13T02:00:00Z,11/13/2018,469.348932112313,0,700.7352391355744,0,231.38630702326154,0,1942.2232007119483,-0,700.74
2030-11-13T03:00:00Z,11/13/2018,468.476353524492,0,743.605078624255,0,261.5424612819279,0,2203.765661993876,13.59,730.02
2030-11-13T04:00:00Z,11/13/2018,481.90738933555497,0,797.6731083751514,0,0,0,2203.765661993876,315.77,481.91
2030-11-13T05:00:00Z,11/13/2018,514.340304335511,0,832.5119225242652,0,0,0,2203.765661993876,318.17,514.34
2030-11-13T06:00:00Z,11/13/2018,563.3762209076301,0,791.7912306616655,0,0,0,2203.765661993876,228.42,563.38
2030-11-13T07:00:00Z,11/13/2018,587.4765308726189,22.438141831158664,810.7942201975451,0,0,0,2203.765661993876,245.76,587.48
2030-11-13T08:00:00Z,11/13/2018,572.193980740777,221.03638426179364,754.2377037217123,0,0,0,2203.765661993876,403.08,572.19
2030-11-13T09:00:00Z,11/13/2018,556.7325578306421,360.882750246141,689.7632749392617,0,0,0,2203.765661993876,493.91,556.73
2030-11-13T10:00:00Z,11/13/2018,538.480113050222,485.44266969813265,674.606128523739,0,0,0,2203.765661993876,621.57,538.48
2030-11-13T11:00:00Z,11/13/2018,515.617944215053,441.50212726190875,640.785331671191,0,0,0,2203.765661993876,566.67,515.62
2030-11-13T12:00:00Z,11/13/2018,501.82368438629396,449.32693469699984,472.2469125732074,0,0,0,2203.765661993876,419.75,501.82
2030-11-13T13:00:00Z,11/13/2018,499.08598386067297,511.37869426682477,495.8875364601055,0,0,0,2203.765661993876,508.18,499.09
2030-11-13T14:00:00Z,11/13/2018,497.7541833175479,461.50017617915137,491.70235424089435,0,0,0,2203.765661993876,455.45,497.75
2030-11-13T15:00:00Z,11/13/2018,511.982230813385,371.8714899052709,422.7034041403774,0,0,0,2203.765661993876,282.59,511.98
2030-11-13T16:00:00Z,11/13/2018,553.205219402249,200.59430465497545,537.6262456192707,0,0,0,2203.765661993876,185.02,553.21
2030-11-13T17:00:00Z,11/13/2018,615.699408268055,0,586.6041888873424,0,0,29.095219380712656,2169.535992134214,0,615.7
2030-11-13T18:00:00Z,11/13/2018,618.625926956836,0,637.1657146167371,0,18.539787659901144,0,2188.0757797941155,0,637.17
2030-11-13T19:00:00Z,11/13/2018,602.619610307966,0,658.0916257127958,0,15.689882199760598,0,2203.765661993876,39.78,618.31
2030-11-13T20:00:00Z,11/13/2018,583.983492505812,0,633.9985496940906,0,0,0,2203.765661993876,50.02,583.98
2030-11-13T21:00:00Z,11/13/2018,559.6675621792929,0,587.622206183907,0,0,0,2203.765661993876,27.95,559.67
2030-11-13T22:00:00Z,11/13/2018,515.494901163205,0,578.5731635477742,0,0,0,2203.765661993876,63.08,515.49
2030-11-13T23:00:00Z,11/13/2018,480.3264194148111,0,558.5521567153294,0,0,0,2203.765661993876,78.23,480.33
2030-11-14T00:00:00Z,11/13/2018,462.088453705531,0,530.387011510364,0,0,0,2203.765661993876,68.3,462.09
2030-11-14T01:00:00Z,11/14/2018,454.02915604185,0,534.0066285648178,0,0,0,2203.765661993876,79.98,454.03
2030-11-14T02:00:00Z,11/14/2018,451.732424154119,0,558.6652697482804,0,0,0,2203.765661993876,106.93,451.73
2030-11-14T03:00:00Z,11/14/2018,453.24415203470403,0,572.3519467354323,0,0,0,2203.765661993876,119.11,453.24
2030-11-14T04:00:00Z,11/14/2018,467.72107169036605,0,567.6011993514628,0,0,0,2203.765661993876,99.88,467.72
